Gene,Panel
ELN,PANCAN
EML4,PANCAN
ENPEP,PANCAN
EP300,PANCAN
EPAS1,PANCAN
EPHA2,PANCAN
EPHA3,PANCAN
EPHA7,PANCAN
EPS15,PANCAN
ERBB2,PANCAN
ERBB3,PANCAN
ERBB4,PANCAN
ERCC2,PANCAN
ERCC3,PANCAN
ERG,PANCAN
ESR1,PANCAN
ESRRA,PANCAN
ETV4,PANCAN
ETV5,PANCAN
ETV6,PANCAN
EWSR1,PANCAN
EXT2,PANCAN
EZH2,PANCAN
FAM135B,PANCAN
FAM174B,PANCAN
FAM186A,PANCAN
FAM46C,PANCAN
FANCA,PANCAN
FANCC,PANCAN
FANCD2,PANCAN
FANCF,PANCAN
FAS,PANCAN
FAT1,PANCAN
FAT2,PANCAN
FAT3,PANCAN
FAT4,PANCAN
FBLN1,PANCAN
FBN2,PANCAN
FBXO11,PANCAN
FBXW7,PANCAN
FGD5,PANCAN
FGFR1,PANCAN
FGFR2,PANCAN
FGFR3,PANCAN
FGFR4,PANCAN
FH,PANCAN
FHIT,PANCAN
FLCN,PANCAN
FLT3,PANCAN
FLT4,PANCAN
FN1,PANCAN
FOXA1,PANCAN
FOXA2,PANCAN
FOXD4L1,PANCAN
FOXL2,PANCAN
FOXO1,PANCAN
FOXO3,PANCAN
FOXP1,PANCAN
FUBP1,PANCAN
GATA1,PANCAN
GATA2,PANCAN
GATA3,PANCAN
GLI1,PANCAN
GMPS,PANCAN
GNA11,PANCAN
GNA13,PANCAN
GNAI2,PANCAN
GNAQ,PANCAN
GNAS,PANCAN
GRIN2A,PANCAN
GTF2I,PANCAN
H3F3A,PANCAN
HERC2,PANCAN
HGF,PANCAN
HIP1,PANCAN
HIST1H3B,PANCAN
HIST1H4I,PANCAN
HLA-A,PANCAN
HLA-B,PANCAN
HNF1A,PANCAN
HNRNPA2B1,PANCAN
HOXA11,PANCAN
HOXC13,PANCAN
HOXD13,PANCAN
HRAS,PANCAN
HSP90AA1,PANCAN
HSP90AB1,PANCAN
HSPG2,PANCAN
HTRA2,PANCAN
ID3,PANCAN
IDH1,PANCAN
IDH2,PANCAN
IFNAR1,PANCAN
IFNGR1,PANCAN
IKBKB,PANCAN
IKZF1,PANCAN
IKZF3,PANCAN
IL6ST,PANCAN
IL7R,PANCAN
ING1,PANCAN
INO80,PANCAN
IRAK1,PANCAN
IRF1,PANCAN
IRF4,PANCAN
IRS4,PANCAN
JAK1,PANCAN
JAK2,PANCAN
JAK3,PANCAN
KAT6A,PANCAN
KAT6B,PANCAN
KDM3B,PANCAN
KDM5A,PANCAN
KDM5C,PANCAN
KDM6A,PANCAN
KDR,PANCAN
KEAP1,PANCAN
KEL,PANCAN
KIF5B,PANCAN
KIFC1,PANCAN
KIT,PANCAN
KLF4,PANCAN
KLF5,PANCAN
KLHL36,PANCAN
KLHL6,PANCAN
KMT2A,PANCAN
KMT2B,PANCAN
KMT2C,PANCAN
KMT2D,PANCAN
KRAS,PANCAN
LATS1,PANCAN
LATS2,PANCAN
LDB1,PANCAN
LIFR,PANCAN
LOX,PANCAN
LPAR4,PANCAN
LPP,PANCAN
LRIG3,PANCAN
LRP1B,PANCAN
LTB,PANCAN
LY75-CD302,PANCAN
LZTR1,PANCAN
MAF,PANCAN
MALT1,PANCAN
MAML2,PANCAN
MAP2,PANCAN
MAP2K1,PANCAN
MAP2K4,PANCAN
MAP2K7,PANCAN
MAP3K1,PANCAN
MAPK1,PANCAN
MARK2,PANCAN
MAX,PANCAN
MB21D2,PANCAN
MCM3AP,PANCAN
MDM2,PANCAN
MDM4,PANCAN
MECOM,PANCAN
MED12,PANCAN
MEF2B,PANCAN
MEN1,PANCAN
MET,PANCAN
MGA,PANCAN
MLLT1,PANCAN
MLLT3,PANCAN
MSI2,PANCAN
MSN,PANCAN
MTCP1,PANCAN
MTOR,PANCAN
MYC,PANCAN
MYCN,PANCAN
MYD88,PANCAN
MYH11,PANCAN
MYH9,PANCAN
MYO5A,PANCAN
